iter	Passed	Remaining
973	81299	2170
974	81360	2086
975	81505	2004
976	81610	1921
977	81699	1837
978	81800	1754
979	81897	1671
980	81989	1587
981	82081	1504
982	82177	1421
983	82269	1337
984	82378	1254
985	82476	1171
986	82568	1087
987	82658	1003
988	82749	920
989	82854	836
990	82952	753
991	83041	669
992	83120	585
993	83219	502
994	83297	418
995	83402	334
996	83495	251
997	83585	167
998	83676	83
999	83779	0
